,forcast,Lower CI,Upper CI
2023-02-14,5504496.743235983,2988970.346092056,8020023.140379909
2023-02-15,4710998.927055194,2194393.234005496,7227604.620104892
2023-02-16,3308410.9765413557,791324.521708833,5825497.431373878
2023-02-17,2352997.609171923,-164548.48666050332,4870543.705004349
2023-02-18,2560438.198698404,38842.129375515506,5082034.268021292
2023-02-19,3767649.237875368,1240852.6731150318,6294445.802635704
2023-02-20,5058705.6291968,2530315.308586843,7587095.949806757
2023-02-21,5457627.042255365,2929151.710504218,7986102.374006513
2023-02-22,4664264.364150593,2134277.4928893456,7194251.2354118405
2023-02-23,3278356.4890481955,747619.4464138127,5809093.531682579
2023-02-24,2344399.489732589,-186588.3069984638,4875387.2864636425
2023-02-25,2562805.33992046,28506.122665717732,5097104.557175202
2023-02-26,3763132.5895165172,1224509.2379369186,6301755.941096116
2023-02-27,5035467.170125139,2495691.232426905,7575243.107823373
2023-02-28,5418737.157210257,2878758.4859287567,7958715.828491757
2023-03-01,4625328.5244921455,2083509.3629722423,7167147.686012048
2023-03-02,3255639.3125594123,712862.9981352971,5798415.626983527
2023-03-03,2342525.4831692823,-200396.43543002196,4885447.401768587
2023-03-04,2571303.4671296515,25551.188705486245,5117055.745553817
2023-03-05,3764339.864768989,1214856.9587420775,6313822.7707959
2023-03-06,5017825.818743842,2467468.280896156,7568183.356591527
2023-03-07,5385469.312846478,2834796.38310343,7936142.242589526
2023-03-08,4591934.157844652,2039189.1407831549,7144679.1749061495
2023-03-09,3238138.216681004,684293.7604807005,5791982.672881307
2023-03-10,2345358.2686171536,-208577.72339086235,4899294.26062517
2023-03-11,2584004.7541170153,27561.072392425034,5140448.435841605
2023-03-12,3769451.8177482025,1209693.742503658,6329209.892992747
2023-03-13,5004058.995007803,2443608.577539323,7564509.412476283
2023-03-14,5356175.087660107,2795315.2770100664,7917034.898310147
2023-03-15,4562510.731430799,1999426.8149064747,7125594.647955123
2023-03-16,3224364.259359565,660093.1297128592,5788635.389006271
2023-03-17,2351482.248998052,-212852.0570708788,4915816.555066982
2023-03-18,2599565.824083237,32946.462976808194,5166185.185189666
2023-03-19,3777198.1651136996,1207566.797667048,6346829.532560351
2023-03-20,4992960.273873486,2422760.9972658777,7563159.550481094
2023-03-21,5329703.041465623,2759020.858972261,7900385.223958986
2023-03-22,4535960.5787992235,1962962.973325239,7108958.184273208
2023-03-23,3213273.3773379787,639042.6731968145,5787504.081479143
2023-03-24,2359906.200494954,-214372.65795149514,4934185.058941403
2023-03-25,2617048.6728933924,40642.77725038258,5193454.568536403
2023-03-26,3786691.702210581,1207501.4614061452,6365881.943015017
2023-03-27,4983686.69182012,2404016.944352805,7563356.439287435
2023-03-28,5305248.646949612,2725040.498285281,7885456.795613943
2023-03-29,4511515.349518375,1928944.942231649,7094085.7568051
2023-03-30,3204133.643598356,620314.7690393263,5787952.518157385
